0,1,2,3,4,5,6,7,8,Labels
0.839236438,1.026642203,0.959892392,1.112407088,1.004853606,-0.024213707,0.926802456,-0.076528974,1.051810861,21
-0.018541684,0.88979286,0.940000474,0.147768125,-0.134965941,0.065972909,0.994072914,0.938899696,0.199533761,12
0.110264562,-0.074503578,0.026438652,-0.152500793,-0.153533265,0.148818076,-0.149220705,0.935088992,-0.043242715,28
0.861938059,1.194261074,0.994547486,-0.11040628,0.11723908,0.981350601,1.03187263,0.012474262,-0.089401208,15
0.939356267,1.090015769,-0.111589864,0.159666583,1.17627275,0.980705798,0.926146746,0.956374288,0.078384154,20
0.918311775,0.997428775,1.066238523,1.007065058,-0.150993183,0.021032631,0.030798534,-0.041754857,0.112899676,2
0.916729689,0.856812477,0.966649771,0.646055222,-0.081091814,0.195586115,0.069743611,-0.120967746,-0.019107876,2
0.934898436,1.087433219,1.083060861,-0.091347925,0.1606085,0.157176003,-0.066077694,1.02438879,1.04227066,0
-0.079168819,1.08006084,1.062426686,0.086616769,0.999008656,-0.053333789,1.178834081,1.015538335,1.116167068,18
-0.086746275,0.960007966,0.053104188,0.025044128,0.064376675,-0.177077398,-0.156955227,-0.011298363,-0.038512178,29
1.151571989,0.967914641,0.126974091,-0.030378142,0.84761399,1.14914,0.980255067,1.148692727,-0.02722908,20
-0.002701781,0.015739296,-0.056020834,-0.024652617,0.103360988,-0.062925823,0.026359869,-0.02049423,-0.116886973,26
-0.089053422,-0.048292454,-0.000584556,1.029696226,1.047022223,0.937203348,-0.052659567,-0.072052605,0.140543222,25
0.869471848,1.002835751,0.02913172,1.090157509,-0.090100743,1.113659143,0.866256058,0.134347841,0.198664546,24
0.893314362,-0.003182258,0.059573103,0.132162228,1.126049161,-0.017063567,1.040487528,0.044816982,-0.093562968,7
0.142454773,0.981282592,1.132813692,-0.031789884,1.121750474,-0.127682805,1.010627508,1.003557801,0.982638597,18
1.184658885,-0.130497143,0.05287471,-0.093402229,1.014145017,-0.031495284,0.855047047,-0.077902295,0.065831177,7
1.039985538,1.14391005,1.095379114,1.16571331,0.983609557,-0.002006274,0.935316443,0.039830755,-0.237559348,5
-0.063536666,0.011645057,-0.005763194,-0.018963093,0.978642821,0.103012517,0.010216753,1.00511992,-0.117126286,27
1.049431801,0.946223199,1.014237285,0.100291431,1.100637674,0.946132779,-0.029561583,1.074985862,0.906677544,8
0.121938847,0.828438818,-0.059842117,0.060065728,-0.126651868,0.046500426,-0.134849682,-0.025197182,-0.01307937,29
1.101526141,0.970869303,-0.01790758,1.22170186,-0.197054908,1.090920687,0.979456782,0.951695621,0.021507671,1
1.232134461,0.049512744,-0.195357531,-0.113443665,0.831857264,-0.070193574,1.073034763,-0.081756391,-0.05918422,7
-0.007334934,0.833085179,-0.10114067,-0.005018822,0.09417484,-0.106979609,-0.038004961,0.078248642,-0.082391396,29
-0.136948287,-0.088134162,0.129850373,1.059623361,0.994475722,-0.176647857,1.041359663,1.045900822,1.118165374,14
1.264515519,1.198976755,1.016251683,-0.168650463,-0.237381011,0.022494553,0.045846049,0.957750678,1.030089855,0
0.989467144,0.951211989,0.098146938,0.942001343,-0.031447645,1.000524759,0.942881703,1.093900681,-0.042197894,1
1.104315162,1.071120024,1.149894595,1.021621943,1.096087217,1.000323176,0.036306825,0.091221385,-0.159645841,23
0.942755699,1.098468781,1.0626477,0.011124523,0.993384361,0.974224925,-0.037165061,0.933665991,1.105518937,8
1.022725821,0.024991721,0.046234637,0.985973299,0.040540177,0.126558751,0.13531971,1.023328185,0.991791666,17
-0.211589813,-0.22417894,0.031476781,-0.117030434,0.031447545,0.033267822,0.032236218,1.071523786,0.142553791,28
0.045108777,-0.031218544,-0.058003884,1.04367137,0.992708027,-0.154299468,0.885453701,1.135689616,1.130776644,14
1.089176178,1.035378933,-0.003994567,0.005226684,0.82439959,0.896581113,0.990398288,0.962688565,-0.014818765,20
0.034145914,1.038724303,-0.031566102,-0.012193645,-0.071841165,-0.043590318,0.018121289,-0.062763147,-0.038482614,29
0.930974901,0.932204127,0.029732598,0.959122002,-0.106236391,1.08601594,1.063839078,0.111554109,-0.06373968,24
0.99157548,0.986863494,1.102453589,0.950796008,0.036319356,-0.022012938,0.143985584,0.097032197,-0.066414528,2
1.009893298,-0.030746052,1.185462594,0.029041916,0.880568564,-0.091407478,0.85872525,0.061661329,1.142560244,3
