0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,Labels
-0.013065203,-0.023723645,-0.022295928,0.041159209,-0.051264565,0.029184559,-0.010894104,0.042421099,-0.145752341,-0.150583804,0.06987825,-0.103222549,-0.213117898,0.015938854,0.011292395,-0.033153296,0.958405733,0.038048957,-0.024188332,0.162310928,0.018943882,-0.01109591,-0.044238232,0.001502879,0.966833055,-0.136161,0.110390857,0.014649398,0.02848014,-0.036382884,0.885701358,-0.054966033,0.017957643,-0.113403715,-0.022936776,-0.023776544,0.230650768,0.113073111,0.16463767,-0.023012308,-0.105803408,0.058701772,0.030374099,0.034591246,-0.091102593,-0.052995659,-0.05135059,-0.068949126,-0.055857439,7
-0.081429586,-0.057730306,-0.031111632,0.091081701,0.090816386,0.037535917,-0.047708381,0.049998876,-0.310622036,0.028115503,0.109475181,0.128735989,0.046196882,-0.077270962,0.019161128,0.000122823,1.03871119,1.139490604,0.020461433,-0.047073182,-0.022469491,0.012143197,-0.058972906,-0.128192768,1.088710427,0.961541593,0.042541098,-0.041327812,0.061675876,0.004454713,0.911665201,0.9732306,-0.130260065,-0.187121078,0.003345651,-0.136036023,0.145370245,-0.064793929,-0.059197582,-0.016265582,0.120737925,-0.044746917,-0.044979487,-0.104055502,0.06932272,0.006111588,0.054941814,-0.038815275,0.007639349,20
-0.062029477,0.01168264,-0.043221552,0.051071234,0.032750186,0.038071908,0.014862637,0.029281845,0.018452056,-0.038639378,-0.258744597,0.033834644,-0.047656622,0.086095385,0.036300864,-0.105840273,-0.006220497,1.228975654,0.907556593,0.013692386,0.010568253,-0.036891386,-0.079819851,0.023742411,1.117060781,0.223209575,-0.00781039,0.0382617,0.00934167,0.114752546,1.123129725,0.865701497,0.962436616,0.146392018,0.053200472,0.041281532,-0.069588885,0.006732613,-0.092779033,-0.281343192,0.165042639,-0.12305256,0.028505012,-0.019829262,-0.022546126,-0.034573406,-0.019733893,0.001963188,0.006893843,18
0.020241756,-0.075518206,-0.021046387,-0.101628818,-0.061534692,-0.012654302,-0.006669041,0.049845748,-0.015229486,0.077463567,0.199435443,-0.092962034,0.03276157,0.040304594,-0.04159468,-0.318745464,0.026585262,0.767042518,0.985373616,-0.039386287,-0.122200646,0.063315071,0.024113962,0.082045123,1.225848913,0.844652414,0.109185532,0.081027672,-0.034585264,-0.114686772,1.166750789,1.025292277,1.036789775,-0.105109632,0.078470066,-0.090964489,-0.177092552,-0.042309489,-0.075289853,-0.118875235,-0.114331692,0.004232163,0.04292376,0.013001195,-0.046421465,0.050334193,0.039204255,0.042845022,0.070639655,8
0.017242158,-0.063493945,-0.048919659,0.042745229,-0.063716739,0.115786903,0.062559009,0.022285772,0.089933112,0.117718168,-0.05444869,-0.014613401,-0.103995912,0.034876499,-0.066780977,0.079296097,1.058879852,0.982245207,0.92711246,-0.05867447,0.071154505,0.013816941,0.032043241,-0.074164107,0.955559611,1.063187122,-0.011331559,0.068794549,-0.039054763,-0.158224329,-0.213305473,1.282446742,1.089340448,0.152358979,-0.020864597,-0.055720568,0.120254271,-0.011037901,0.013779132,0.195001081,0.081205986,-0.120121598,0.082734972,0.006944981,0.066153102,-0.037322756,0.012851636,-0.009704816,-0.043668818,8
0.023543347,0.02554493,-0.040580008,-0.033291612,0.051901896,0.02323701,-0.072288431,0.001348458,-0.081311718,-0.042946052,0.023592714,0.215528965,-0.189360917,-0.003199292,-0.000438043,0.100556366,1.111530781,0.075093806,-0.039102443,-0.071578369,-0.018504586,-0.084121577,0.047606822,1.085059762,1.03114748,0.930569887,-0.039931487,0.072708838,0.017276503,-0.224571198,-0.135170609,0.05046986,0.843342841,0.081316903,0.056384455,-0.023975944,-0.135901868,-0.063638367,-0.039726436,0.115085214,-0.052473575,-8.62e-05,-0.003048274,0.081841044,-0.032762747,-0.030767281,-0.094308533,-0.007301316,0.009053397,11
0.001233509,-0.082589082,0.111013375,-0.000856498,-0.081907608,0.030706281,-0.012959003,-0.006237968,-0.109410629,-0.159496129,0.037970971,-0.08856304,0.241867781,-0.044657268,0.015194892,0.122787543,-0.002848864,0.171798974,0.872034788,-0.052995376,0.060740065,0.050098289,0.067671761,0.033356011,0.998760402,0.045804814,0.087472543,0.046168115,-0.051757526,-0.084174111,0.099060282,0.032396279,0.996542633,-0.114086248,0.026063282,0.03698682,0.003015697,-0.100108683,0.045647841,-0.123506665,0.120036006,-0.024707435,0.056409307,-0.021566954,-0.056847591,-0.067616872,0.121569112,-0.040645149,-0.031696294,7
-0.032427758,0.036572542,0.063602746,-0.008646049,0.034841981,0.002330616,-0.014083588,-0.014143164,-0.056960266,0.062362224,0.046161544,0.124263801,0.133776858,0.020964686,0.029103739,-0.243227765,-0.020826451,-0.028353639,1.03728652,-0.029394064,-0.089155212,0.035634514,-0.00746225,1.002757549,1.239448309,1.038986206,0.075140677,0.007057282,0.027979419,0.00722342,0.879852176,-0.082313813,0.038021207,-0.106934786,-0.004482453,-0.053952944,0.122917451,-0.057479382,-0.040074527,-0.004389655,0.17727749,0.037094429,0.0291724,-0.001108183,-0.102422319,-0.034682665,-0.017269382,-0.083053462,-0.059330501,11
-0.050507594,0.038401369,-0.023399604,0.037707549,0.011205388,0.012166981,-0.041909125,-0.068239741,0.014882291,0.078981638,0.115638286,-0.010010433,-0.204954386,-0.035195004,0.01210872,-0.057487424,1.135653257,-0.113394029,0.017640192,0.142449349,0.044678815,-0.007607826,0.072759323,1.112976909,0.088880643,0.130197734,0.009972893,0.015738441,0.024330333,-0.139624089,-0.078992225,0.963017046,0.980647981,0.174726069,0.091587894,0.035125878,-0.079782993,0.123072445,0.244655728,-0.024295209,-0.100573733,-0.061688628,0.009427185,-0.008506766,-0.015275191,-0.043198604,0.019396899,-0.014042148,0.011408208,17
0.035078209,0.042456716,0.06458573,0.058928918,0.004734423,-0.026018798,-0.023442794,0.05356884,-0.011631301,0.028157378,0.102325536,0.024703179,-0.014546001,-0.058805723,-0.080187887,0.004274847,0.088312,0.039336905,-0.120256342,-0.165549666,0.12957038,0.023026042,0.028720556,0.059751984,0.947414398,0.785995483,0.951844573,0.048272558,-0.006885574,0.035396114,-0.108607188,-0.21648252,0.093680769,-0.051481072,0.163422003,-0.018462243,0.016591644,-0.006961592,-0.008892869,0.974660099,0.950256646,0.053113785,0.028788084,0.016973397,0.117191702,-0.1021308,-0.113462374,0.174693763,0.058461633,0
0.048125692,-0.105405547,-0.080418766,-0.086523302,0.019624641,0.046105046,0.031489544,-0.042732731,-0.17315644,-0.087660953,-0.031783707,-0.098328933,-0.162317082,-0.032300524,0.006025403,0.058454759,0.005845647,0.985068798,0.11616385,-0.007637113,0.052694321,0.013440946,-0.039450761,-0.040738016,-0.093880691,-0.072136961,-0.176717475,-0.00169303,-0.021075701,0.036481209,-0.135641977,-0.066206582,-0.153242245,-0.075539932,0.011162366,0.015860215,-0.010848795,0.040542729,-0.333829761,-0.227101266,-0.067742445,0.027868157,-0.061327737,-0.022629449,-0.016866334,0.037098594,-0.031027082,-0.087542377,0.025980148,29
0.015903156,0.002466772,0.033281397,0.02207767,0.035743963,0.009864788,-0.068726532,0.089334808,0.041425165,-0.032097537,-0.176860347,0.10935396,-0.001680963,-0.012352514,0.035731968,-0.036177222,0.188599139,-0.153778717,0.075480662,-0.018914714,0.066000849,-0.015175231,-0.187956989,-0.035422504,0.862476647,0.158719331,0.00285126,0.024058722,0.062143326,-0.039800592,0.067586459,0.984173179,0.10245648,-0.075437456,0.101946764,0.034684233,-0.028059918,-0.002266137,0.259869397,0.146526322,0.144530535,-0.005224192,-0.031932052,-0.046890285,0.130196333,0.0085077,0.018954305,-0.003669342,-0.061427929,27
0.045831211,0.026933802,0.014758157,-0.0396448,-0.080351077,-0.015945753,0.046098948,-0.111485459,-0.082189053,0.025721673,0.021200776,-0.021743923,-0.077218406,0.032707162,-0.038196914,0.045349009,1.197389603,1.10897994,0.987045825,-0.077787295,-0.008370376,0.007837125,-0.019229017,-0.085465744,0.037268698,1.253271341,0.137058109,-0.004256873,-0.091101587,-0.175127462,0.893655479,0.186459884,-0.137310192,-0.049786344,0.066247106,-0.045848887,0.100250766,0.033131272,-0.073020771,-0.139415801,0.234315068,0.022251671,0.077036463,0.01201012,0.058394164,-0.049393427,-0.052360099,-0.043159783,0.015363722,15
0.053394437,0.023394024,0.083186872,0.068510741,0.118800059,0.110665336,0.064891271,-0.069053717,-0.00378564,0.109033734,0.030745365,-0.066945076,0.111654073,0.081580691,0.047664579,0.17332001,1.070165992,0.899442375,0.923117638,-0.015141085,-0.008402331,-0.025903648,0.01274713,0.974416792,-0.143044263,0.023637705,-0.085191362,0.044462766,0.084316984,0.11999239,0.168656051,0.013064161,0.06538327,0.320733964,-0.008956929,0.03770664,-0.032619629,0.137531444,-0.102226384,0.090131618,0.01155461,0.055217691,0.035759728,0.009630957,-0.025568912,0.011456239,-0.018149737,-0.004487694,-0.021428203,2
0.007945662,0.031755667,-0.013007911,-0.111942768,0.0487011,0.073944636,0.060959756,-0.018849157,-0.096194215,-0.097745702,-0.164551973,0.007801005,-0.079110876,0.035191458,-0.000557934,0.06437619,0.984010637,-0.14420639,1.047712803,-0.07010372,0.063522913,0.040252663,0.111172542,-0.136680782,1.051532269,-0.000588574,0.016487962,0.006374226,-0.002112562,0.061219499,1.179900408,0.105729386,0.911328793,0.002646059,-0.011443376,-0.01350599,-0.032719258,-0.042994127,-0.10065335,-0.283818245,-0.036575135,-0.002800313,-0.006164912,0.030173529,-0.047116198,-0.009966436,-0.062229563,-0.078593284,0.029568166,3
-0.005204488,-0.013760506,0.038649257,0.054649353,0.021517538,-0.018688684,0.018762384,0.024636252,-0.02343796,-0.157408357,-0.051405206,0.082336344,-0.023317061,0.04521279,0.073694512,0.07768292,0.957814217,-0.029245287,1.162479401,0.060957618,-0.013526029,0.018294582,-0.141642377,-0.096883036,1.158858061,-0.193471611,0.139331922,0.079136707,0.024505531,0.047770858,0.87160784,0.138782799,1.029457688,-0.138724476,0.033663239,0.042468872,0.069022387,-0.099673644,0.091038972,-0.143306509,0.101299807,0.076080389,0.072704196,0.099593565,0.077145867,0.043303303,-0.025214586,-0.054052304,0.017186876,3
0.030893404,0.008154474,0.044444408,0.054730263,-0.013871983,0.013786675,-0.040294033,0.016969182,-0.106364347,0.215973601,-0.032462299,-0.165830538,-0.086677738,0.086395405,0.117970966,-0.050298609,0.141627938,0.909394205,0.233102039,0.148537353,-0.058083553,-0.059410151,0.061375517,0.974874496,-0.123476654,1.131442904,0.093377776,-0.030853683,-0.074054681,0.17970635,-0.118964612,1.261321664,1.128531098,-0.234333992,0.058574934,-0.042228136,0.012702617,-0.26614809,0.089120112,0.05293119,-0.158291399,0.003245853,-0.031427365,0.027476937,0.056863517,-0.024747146,-0.06494429,0.10804794,0.049425568,9
